displayName,name,notebook,spec,recipe,dataTable,sample,additionalDataTables,description
C# dependency usage,io.moderne.DependencyUsageViolinNuget,moderne_visualizations_misc/dependency_usage_violin_nuget.ipynb,moderne_visualizations_misc/specs/dependency_usage_violin_nuget.yml,org.openrewrite.csharp.dependencies.DependencyInsight,org.openrewrite.maven.table.DependenciesInUse,samples/dependency_usage_violin.csv,,See the distribution of dependencies by version.
Call graph data grid,io.moderne.CallGraphDataGrid,moderne_visualizations_misc/call_graph_data_grid.ipynb,moderne_visualizations_misc/specs/call_graph_data_grid.yml,org.openrewrite.FindCallGraph,org.openrewrite.table.CallGraph,samples/v2/org.openrewrite.table.CallGraph.csv,,This data grid shows relationships for method calls.
Call graph UML,io.moderne.FindCallGraph,moderne_visualizations_misc/call_graph_uml.ipynb,moderne_visualizations_misc/specs/call_graph_uml.yml,org.openrewrite.FindCallGraph,org.openrewrite.table.CallGraph,samples/v2/org.openrewrite.table.CallGraph.csv,,This diagram shows relationships for method calls in UML.
Class coupling vs cohesion risk matrix,io.moderne.CouplingCohesionQuadrant,moderne_visualizations_misc/coupling_cohesion_quadrant.ipynb,moderne_visualizations_misc/specs/coupling_cohesion_quadrant.yml,io.moderne.prethink.UpdatePrethinkContextStarter,io.moderne.prethink.table.ClassQualityMetrics,samples/v2/io.moderne.prethink.table.ClassQualityMetrics.csv,,"Scatter plot with four quadrants classifying classes by coupling and cohesion. Quadrants: Spaghetti (high coupling, low cohesion), Hub (high coupling, high cohesion), Island (low coupling, low cohesion), Healthy (low coupling, high cohesion). Helps identify classes most in need of refactoring."
COBOL relationships data grid,io.moderne.FindCobolRelationshipsDataGrid,moderne_visualizations_misc/cobol_relationships_data_grid.ipynb,moderne_visualizations_misc/specs/cobol_relationships_data_grid.yml,org.openrewrite.cobol.search.FindRelationships,org.openrewrite.cobol.table.CobolRelationships,samples/cobol_relationships.csv,,"Reports the relationships between different COBOL resources. Includes COBOL sources, Copybooks, Link-edit cards, DB2 access, and others."
Code quality executive dashboard,io.moderne.CodeQualityExecutiveDashboard,moderne_visualizations_misc/code_quality_executive_dashboard.ipynb,moderne_visualizations_misc/specs/code_quality_executive_dashboard.yml,io.moderne.prethink.UpdatePrethinkContextStarter,io.moderne.prethink.table.ClassQualityMetrics,samples/v2/io.moderne.prethink.table.ClassQualityMetrics.csv,data_file_methods=io.moderne.prethink.table.MethodQualityMetrics; data_file_packages=io.moderne.prethink.table.PackageQualityMetrics; data_file_smells=io.moderne.prethink.table.CodeSmells; data_file_gaps=io.moderne.prethink.table.TestGaps,"Single-page executive summary combining all quality data tables. Shows portfolio health score, top riskiest repositories, smell severity breakdown, test gap coverage, and worst dependency cycles. Designed for engineering leadership to assess overall codebase health at a glance."
Code quality metrics data grid,io.moderne.CodeQualityDataGrid,moderne_visualizations_misc/code_quality_data_grid.ipynb,moderne_visualizations_misc/specs/code_quality_data_grid.yml,io.moderne.prethink.UpdatePrethinkContextStarter,io.moderne.prethink.table.MethodQualityMetrics,samples/v2/io.moderne.prethink.table.MethodQualityMetrics.csv,,"Interactive sortable data grid showing all quality metrics with hierarchical drill-down from repository to package to class to method. Supports filtering, sorting, and searching across all metric columns. Useful for detailed exploration of quality data beyond what chart visualizations provide."
Code smell distribution by repository,io.moderne.CodeSmellSeverityStackedBar,moderne_visualizations_misc/code_smell_severity_stacked_bar.ipynb,moderne_visualizations_misc/specs/code_smell_severity_stacked_bar.yml,io.moderne.prethink.UpdatePrethinkContextStarter,io.moderne.prethink.table.CodeSmells,samples/v2/io.moderne.prethink.table.CodeSmells.csv,,"Horizontal stacked bar chart showing code smell counts per repository, segmented by severity (critical, high, medium, low). Reveals which repositories carry the most design problems and how severe they are."
Comment language distribution,io.moderne.CommentLanguageDistribution,moderne_visualizations_misc/comment_language_distribution.ipynb,moderne_visualizations_misc/specs/comment_language_distribution.yml,io.moderne.ai.FindCommentsLanguage,io.moderne.ai.table.LanguageDistribution,samples/comments_language.csv,,Show pie graph of the distribution of the language of comments.
Complexity vs test coverage risk,io.moderne.ComplexityVsTestGapsBubble,moderne_visualizations_misc/complexity_vs_test_gaps_bubble.ipynb,moderne_visualizations_misc/specs/complexity_vs_test_gaps_bubble.yml,io.moderne.prethink.UpdatePrethinkContextStarter,io.moderne.prethink.table.ClassQualityMetrics,samples/v2/io.moderne.prethink.table.ClassQualityMetrics.csv,data_file_gaps=io.moderne.prethink.table.TestGaps,"Bubble chart joining class complexity with test gaps. X-axis shows weighted methods per class (WMC), Y-axis shows untested method count, and bubble size represents a composite risk score. Classes in the upper-right are high-complexity with poor test coverage, representing the highest risk."
